Survey,id,Municipality,Code_ine,Province,CCAA,Reindustrialization,Renaturalization,Preservation,WeightAsPontes,WeightSpain,filter_$,NearestPowerPlantName,PowerPlantCluster,Dist_to_nearest_plant
1,1430,Tineo,33073,Asturias,2,8,7,5,.676045072913876,.674558178569255,0,Power plant Narcea,Asturias,1.37756884747915
1,1429,Jerez de los Caballeros,6070,Badajoz,11,3,10,5,.676045072913876,.674558178569255,0,Power plant Puente Nuevo,Córdoba,165.104624573491
1,1428,Orio,20061,Guipúzcoa,4,8,10,8,.676045072913876,.674558178569255,0,Power plant Escatrón,Teruel,265.596711707434
1,1427,Lerín,31152,Navarra,5,10,10,5,.288630219289262,.287995405638601,0,Power plant Escatrón,Teruel,189.018548157941
1,1426,Mora de Rubielos,44158,Teruel,7,5,8,6,.301935334274582,.301271257338056,0,Power plant de Escucha,Teruel,64
1,1425,Herrera de Pisuerga,34083,Palencia,9,6,5,10,.325479258324308,.324763398852974,0,Power plant Velilla,Palencia,55.4536030342199
1,1424,Artziniega,1004,Alava,4,8,5,8,.288630219289262,.287995405638601,0,Power plant Velilla,Palencia,144.517721868929
1,1423,Ituero y Lama,40104,Segovia,9,6,8,6,.289349300547048,.288712905348206,0,Power plant Velilla,Palencia,229.410382650663
1,1422,Mundaka,48068,Vizcaya,4,10,10,10,.288630219289262,.287995405638601,0,Power plant Velilla,Palencia,186.710324770479
1,1421,Artziniega,1004,Alava,4,10,10,10,.289349300547048,.288712905348206,0,Power plant Velilla,Palencia,144.517721868929
1,1420,Montesa,46174,Valencia/València,13,5,0,10,.288630219289262,.287995405638601,0,Power plant de Escucha,Teruel,208.672145252097
1,1419,Busturia,48021,Vizcaya,4,0,0,2,.325479258324308,.324763398852974,0,Power plant Velilla,Palencia,184.845504044323
1,1418,Pontedeva,32064,Ourense,1,5,8,8,.325479258324308,.324763398852974,0,Power plant Meirama,Coruna,113.230589757283
1,1417,Morales del Vino,44158,Teruel,9,0,10,10,.676495224311756,.675007339903611,0,Power plant de Escucha,Teruel,63.1167301143842
1,1416,Autol,26021,La Rioja,6,1,9,8,.676495224311756,.675007339903611,0,Power plant de Escucha,Teruel,182.413017565765
1,1415,Colindres,39023,Cantabria,3,10,10,5,.676495224311756,.675007339903611,0,Power plant Velilla,Palencia,131.396436415674
1,1414,Villagonzalo Pedernales,9434,Burgos,9,5,10,6,.331980789917225,.331250630969504,0,Power plant Velilla,Palencia,110.498603822532
1,1413,Cazalegas,45045,Toledo,10, , , ,.325479258324308,.324763398852974,0,Power plant de Puertollano,Ciudad Real,158.146739947488
1,1412,Valdepiélagos,28163,Madrid,8,5,7,8,.301935334274582,.301271257338056,0,Power plant de Puertollano,Ciudad Real,241.420435510643
1,1411,Lloret de Vistalegre,7028,Illes Balears,14, , , ,.331980789917225,.331250630969504,0,Power plant Cercs,Lleida,299.269343409961
1,1410,Alforja,43009,Tarragona,12,0,10,10,.331980789917225,.331250630969504,0,Power plant Escatrón,Teruel,107.621718161344
1,1409,Fornelos de Montes,36019,Pontevedra,1,5,0,8,.331980789917225,.331250630969504,0,Power plant Meirama,Coruna,92.9548374400987
1,1408,Castellar de Santiago,13033,Ciudad Real,10,5,5,5,.331980789917225,.331250630969504,0,Power plant de Puertollano,Ciudad Real,74.3409238080985
1,1407,Pitillas,31205,Navarra,5,5,9,5,.288630219289262,.287995405638601,0,Power plant Escatrón,Teruel,163.292943313021
1,1406,Guitiriz,27022,Lugo,1,5,10,10,.796391966262222,.794640380815955,0, Power plant As Pontes,Coruna,26.1043776731342
1,1405,Jerez de los Caballeros,6070,Badajoz,11,0,10,10,.796391966262222,.794640380815955,0,Power plant Puente Nuevo,Córdoba,165.104624573491
1,1404,Almagro,13013,Ciudad Real,10,8,5,10,.796391966262222,.794640380815955,0,Power plant de Puertollano,Ciudad Real,44.0887974939354
1,1403,Alconchel,6007,Badajoz,11, , , ,.288630219289262,.287995405638601,0,Power plant Puente Nuevo,Córdoba,198.525808613299
1,1402,Gandesa,18905,Tarragona,12,6,10,10,.796391966262222,.794640380815955,0,Power plant de Puertollano,Ciudad Real,172.421455071649
1,1401,Marines,46161,Valencia/València,13,7,10,8,.331980789917225,.331250630969504,0,Power plant de Escucha,Teruel,123.203041894528
1,1400,Oliana,25149,Lleida,12,7,10,10,.288630219289262,.287995405638601,0,Power plant Cercs,Lleida,45.0503970407326
1,1399,Alforja,43009,Tarragona,12,6,8,8,.325479258324308,.324763398852974,0,Power plant Escatrón,Teruel,107.621718161344
1,1398,Jerez de los Caballeros,6070,Badajoz,11,8,8,8,.676045072913876,.674558178569255,0,Power plant Puente Nuevo,Córdoba,165.104624573491
1,1397,Lumbier,31159,Navarra,5,3,5,5,.289349300547048,.288712905348206,0,Power plant Escatrón,Teruel,170.064544596982
